lat,lon,lead_month,forecast_date,anom,init_year,init_month
13.5,-42.5,1,2026-09,0.4599,2026,8
13.5,-41.5,1,2026-09,0.4958,2026,8
13.5,-40.5,1,2026-09,0.5546,2026,8
13.5,-39.5,1,2026-09,0.5993,2026,8
13.5,-38.5,1,2026-09,0.6029,2026,8
13.5,-37.5,1,2026-09,0.6051,2026,8
13.5,-36.5,1,2026-09,0.644,2026,8
13.5,-35.5,1,2026-09,0.6908,2026,8
13.5,-34.5,1,2026-09,0.7287,2026,8
13.5,-33.5,1,2026-09,0.7431,2026,8
13.5,-32.5,1,2026-09,0.7677,2026,8
13.5,-31.5,1,2026-09,0.7397,2026,8
13.5,-30.5,1,2026-09,0.7604,2026,8
12.5,-89.5,1,2026-09,2.1681,2026,8
12.5,-88.5,1,2026-09,2.3588,2026,8
12.5,-87.5,1,2026-09,2.9093,2026,8
12.5,-86.5,1,2026-09,2.8319,2026,8
12.5,-85.5,1,2026-09,1.4616,2026,8
12.5,-84.5,1,2026-09,1.234,2026,8
12.5,-83.5,1,2026-09,1.1064,2026,8
12.5,-82.5,1,2026-09,0.9013,2026,8
12.5,-81.5,1,2026-09,0.8559,2026,8
12.5,-80.5,1,2026-09,0.797,2026,8
12.5,-79.5,1,2026-09,0.7472,2026,8
12.5,-78.5,1,2026-09,0.7021,2026,8
12.5,-77.5,1,2026-09,0.633,2026,8
12.5,-76.5,1,2026-09,0.4867,2026,8
12.5,-75.5,1,2026-09,0.2646,2026,8
12.5,-74.5,1,2026-09,0.0981,2026,8
12.5,-73.5,1,2026-09,-0.0074,2026,8
12.5,-72.5,1,2026-09,-0.148,2026,8
12.5,-71.5,1,2026-09,0.1022,2026,8
12.5,-70.5,1,2026-09,0.1498,2026,8
12.5,-69.5,1,2026-09,0.3771,2026,8
12.5,-68.5,1,2026-09,0.4853,2026,8
12.5,-67.5,1,2026-09,0.4792,2026,8
12.5,-66.5,1,2026-09,0.4628,2026,8
12.5,-65.5,1,2026-09,0.404,2026,8
12.5,-64.5,1,2026-09,0.3612,2026,8
12.5,-63.5,1,2026-09,0.4833,2026,8
12.5,-62.5,1,2026-09,0.6242,2026,8
12.5,-61.5,1,2026-09,0.6422,2026,8
12.5,-60.5,1,2026-09,0.651,2026,8
12.5,-59.5,1,2026-09,0.6623,2026,8
12.5,-58.5,1,2026-09,0.675,2026,8
12.5,-57.5,1,2026-09,0.6862,2026,8
12.5,-56.5,1,2026-09,0.6742,2026,8
12.5,-55.5,1,2026-09,0.6252,2026,8
12.5,-54.5,1,2026-09,0.5805,2026,8
12.5,-53.5,1,2026-09,0.5597,2026,8
12.5,-52.5,1,2026-09,0.5478,2026,8
12.5,-51.5,1,2026-09,0.5722,2026,8
12.5,-50.5,1,2026-09,0.6181,2026,8
12.5,-49.5,1,2026-09,0.6442,2026,8
12.5,-48.5,1,2026-09,0.632,2026,8
12.5,-47.5,1,2026-09,0.5832,2026,8
12.5,-46.5,1,2026-09,0.5343,2026,8
12.5,-45.5,1,2026-09,0.5385,2026,8
12.5,-44.5,1,2026-09,0.547,2026,8
12.5,-43.5,1,2026-09,0.4894,2026,8
12.5,-42.5,1,2026-09,0.4538,2026,8
12.5,-41.5,1,2026-09,0.4691,2026,8
12.5,-40.5,1,2026-09,0.5373,2026,8
12.5,-39.5,1,2026-09,0.6188,2026,8
12.5,-38.5,1,2026-09,0.6698,2026,8
12.5,-37.5,1,2026-09,0.6366,2026,8
12.5,-36.5,1,2026-09,0.6335,2026,8
12.5,-35.5,1,2026-09,0.6669,2026,8
12.5,-34.5,1,2026-09,0.7069,2026,8
12.5,-33.5,1,2026-09,0.7621,2026,8
12.5,-32.5,1,2026-09,0.7733,2026,8
12.5,-31.5,1,2026-09,0.7445,2026,8
12.5,-30.5,1,2026-09,0.7533,2026,8
11.5,-89.5,1,2026-09,2.154,2026,8
11.5,-88.5,1,2026-09,2.2016,2026,8
11.5,-87.5,1,2026-09,2.1381,2026,8
11.5,-86.5,1,2026-09,1.965,2026,8
11.5,-85.5,1,2026-09,1.5373,2026,8
11.5,-84.5,1,2026-09,1.2135,2026,8
11.5,-83.5,1,2026-09,0.8734,2026,8
11.5,-82.5,1,2026-09,0.8859,2026,8
11.5,-81.5,1,2026-09,0.9223,2026,8
11.5,-80.5,1,2026-09,0.9025,2026,8
11.5,-79.5,1,2026-09,0.8857,2026,8
11.5,-78.5,1,2026-09,0.8673,2026,8
11.5,-77.5,1,2026-09,0.8503,2026,8
11.5,-76.5,1,2026-09,0.7672,2026,8
11.5,-75.5,1,2026-09,0.4909,2026,8
11.5,-74.5,1,2026-09,0.7541,2026,8
11.5,-73.5,1,2026-09,0.8793,2026,8
11.5,-72.5,1,2026-09,1.8827,2026,8
11.5,-71.5,1,2026-09,0.6686,2026,8
11.5,-70.5,1,2026-09,0.8661,2026,8
11.5,-69.5,1,2026-09,0.8974,2026,8
11.5,-68.5,1,2026-09,0.5285,2026,8
11.5,-67.5,1,2026-09,0.4066,2026,8
11.5,-66.5,1,2026-09,0.4252,2026,8
11.5,-65.5,1,2026-09,0.2997,2026,8
11.5,-64.5,1,2026-09,0.0954,2026,8
11.5,-63.5,1,2026-09,0.0668,2026,8
11.5,-62.5,1,2026-09,0.5216,2026,8
11.5,-61.5,1,2026-09,0.6068,2026,8
11.5,-60.5,1,2026-09,0.6557,2026,8
11.5,-59.5,1,2026-09,0.6732,2026,8
11.5,-58.5,1,2026-09,0.6896,2026,8
11.5,-57.5,1,2026-09,0.6977,2026,8
11.5,-56.5,1,2026-09,0.6903,2026,8
11.5,-55.5,1,2026-09,0.6652,2026,8
11.5,-54.5,1,2026-09,0.6386,2026,8
11.5,-53.5,1,2026-09,0.6088,2026,8
11.5,-52.5,1,2026-09,0.5963,2026,8
11.5,-51.5,1,2026-09,0.6234,2026,8
11.5,-50.5,1,2026-09,0.6657,2026,8
11.5,-49.5,1,2026-09,0.6818,2026,8
11.5,-48.5,1,2026-09,0.6652,2026,8
11.5,-47.5,1,2026-09,0.6322,2026,8
11.5,-46.5,1,2026-09,0.6083,2026,8
11.5,-45.5,1,2026-09,0.6147,2026,8
11.5,-44.5,1,2026-09,0.6022,2026,8
11.5,-43.5,1,2026-09,0.557,2026,8
11.5,-42.5,1,2026-09,0.5343,2026,8
11.5,-41.5,1,2026-09,0.5409,2026,8
11.5,-40.5,1,2026-09,0.578,2026,8
11.5,-39.5,1,2026-09,0.6427,2026,8
11.5,-38.5,1,2026-09,0.6969,2026,8
11.5,-37.5,1,2026-09,0.6789,2026,8
11.5,-36.5,1,2026-09,0.672,2026,8
11.5,-35.5,1,2026-09,0.6815,2026,8
11.5,-34.5,1,2026-09,0.6994,2026,8
11.5,-33.5,1,2026-09,0.7331,2026,8
11.5,-32.5,1,2026-09,0.7213,2026,8
11.5,-31.5,1,2026-09,0.7033,2026,8
11.5,-30.5,1,2026-09,0.6906,2026,8
10.5,-89.5,1,2026-09,2.0648,2026,8
10.5,-88.5,1,2026-09,2.1034,2026,8
10.5,-87.5,1,2026-09,2.0807,2026,8
10.5,-86.5,1,2026-09,2.0426,2026,8
10.5,-85.5,1,2026-09,2.1391,2026,8
10.5,-84.5,1,2026-09,1.1125,2026,8
10.5,-83.5,1,2026-09,0.7209,2026,8
10.5,-82.5,1,2026-09,0.6996,2026,8
10.5,-81.5,1,2026-09,0.9086,2026,8
10.5,-80.5,1,2026-09,1.0793,2026,8
10.5,-79.5,1,2026-09,1.1225,2026,8
10.5,-78.5,1,2026-09,1.1295,2026,8
10.5,-77.5,1,2026-09,1.1459,2026,8
10.5,-76.5,1,2026-09,1.1566,2026,8
10.5,-75.5,1,2026-09,2.0683,2026,8
10.5,-74.5,1,2026-09,3.8583,2026,8
10.5,-73.5,1,2026-09,2.3241,2026,8
10.5,-72.5,1,2026-09,2.0861,2026,8
10.5,-71.5,1,2026-09,2.2487,2026,8
10.5,-70.5,1,2026-09,2.2072,2026,8
10.5,-69.5,1,2026-09,1.5451,2026,8
10.5,-68.5,1,2026-09,1.0661,2026,8
10.5,-67.5,1,2026-09,1.0077,2026,8
10.5,-66.5,1,2026-09,0.8432,2026,8
10.5,-65.5,1,2026-09,0.3229,2026,8
10.5,-64.5,1,2026-09,0.4252,2026,8
10.5,-63.5,1,2026-09,0.6938,2026,8
10.5,-62.5,1,2026-09,0.7021,2026,8
10.5,-61.5,1,2026-09,0.8329,2026,8
10.5,-60.5,1,2026-09,0.6566,2026,8
10.5,-59.5,1,2026-09,0.6754,2026,8
10.5,-58.5,1,2026-09,0.682,2026,8
10.5,-57.5,1,2026-09,0.6877,2026,8
10.5,-56.5,1,2026-09,0.6896,2026,8
10.5,-55.5,1,2026-09,0.6745,2026,8
10.5,-54.5,1,2026-09,0.6491,2026,8
10.5,-53.5,1,2026-09,0.6273,2026,8
10.5,-52.5,1,2026-09,0.6122,2026,8
10.5,-51.5,1,2026-09,0.6132,2026,8
10.5,-50.5,1,2026-09,0.6335,2026,8
10.5,-49.5,1,2026-09,0.6518,2026,8
10.5,-48.5,1,2026-09,0.6505,2026,8
10.5,-47.5,1,2026-09,0.6374,2026,8
10.5,-46.5,1,2026-09,0.6452,2026,8
10.5,-45.5,1,2026-09,0.6449,2026,8
10.5,-44.5,1,2026-09,0.6317,2026,8
10.5,-43.5,1,2026-09,0.6208,2026,8
10.5,-42.5,1,2026-09,0.6208,2026,8
10.5,-41.5,1,2026-09,0.6386,2026,8
10.5,-40.5,1,2026-09,0.6769,2026,8
10.5,-39.5,1,2026-09,0.7018,2026,8
10.5,-38.5,1,2026-09,0.7126,2026,8
10.5,-37.5,1,2026-09,0.6996,2026,8
10.5,-36.5,1,2026-09,0.673,2026,8
10.5,-35.5,1,2026-09,0.6559,2026,8
10.5,-34.5,1,2026-09,0.6508,2026,8
10.5,-33.5,1,2026-09,0.6608,2026,8
10.5,-32.5,1,2026-09,0.6496,2026,8
10.5,-31.5,1,2026-09,0.6437,2026,8
10.5,-30.5,1,2026-09,0.64,2026,8
9.5,-89.5,1,2026-09,1.83,2026,8
9.5,-88.5,1,2026-09,1.9543,2026,8
9.5,-87.5,1,2026-09,2.0309,2026,8
9.5,-86.5,1,2026-09,2.0268,2026,8
9.5,-85.5,1,2026-09,1.9953,2026,8
9.5,-84.5,1,2026-09,1.8771,2026,8
9.5,-83.5,1,2026-09,1.1984,2026,8
9.5,-82.5,1,2026-09,0.7038,2026,8
9.5,-81.5,1,2026-09,0.8109,2026,8
9.5,-80.5,1,2026-09,1.0995,2026,8
9.5,-79.5,1,2026-09,1.4621,2026,8
9.5,-78.5,1,2026-09,1.442,2026,8
9.5,-77.5,1,2026-09,1.3583,2026,8
9.5,-76.5,1,2026-09,1.6237,2026,8
