year,month,pdo,date
2018,4,0.11,2018-04-01
2018,5,0.11,2018-05-01
2018,6,-0.04,2018-06-01
2018,7,0.11,2018-07-01
2018,8,0.18,2018-08-01
2018,9,0.09,2018-09-01
2018,10,0.26,2018-10-01
2018,11,-0.05,2018-11-01
2018,12,0.52,2018-12-01
2019,1,0.66,2019-01-01
2019,2,0.46,2019-02-01
2019,3,0.37,2019-03-01
2019,4,1.07,2019-04-01
2019,5,1.03,2019-05-01
2019,6,1.09,2019-06-01
2019,7,1.03,2019-07-01
2019,8,0.38,2019-08-01
2019,9,0.41,2019-09-01
2019,10,-0.45,2019-10-01
2019,11,0.15,2019-11-01
2019,12,0.97,2019-12-01
2020,1,-0.23,2020-01-01
2020,2,-0.68,2020-02-01
2020,3,-0.82,2020-03-01
2020,4,-0.57,2020-04-01
2020,5,0.09,2020-05-01
2020,6,-0.08,2020-06-01
2020,7,-0.38,2020-07-01
2020,8,-0.28,2020-08-01
2020,9,-0.7,2020-09-01
2020,10,-0.69,2020-10-01
2020,11,-1.12,2020-11-01
2020,12,-0.9,2020-12-01
2021,1,-0.16,2021-01-01
2021,2,-0.54,2021-02-01
2021,3,-1.17,2021-03-01
2021,4,-0.91,2021-04-01
2021,5,-0.94,2021-05-01
2021,6,-1.18,2021-06-01
2021,7,-1.87,2021-07-01
2021,8,-1.12,2021-08-01
2021,9,-1.53,2021-09-01
2021,10,-2.55,2021-10-01
2021,11,-2.52,2021-11-01
2021,12,-2.0,2021-12-01
2022,1,-1.24,2022-01-01
2022,2,-1.08,2022-02-01
2022,3,-1.0,2022-03-01
2022,4,-1.51,2022-04-01
2022,5,-1.92,2022-05-01
2022,6,-1.21,2022-06-01
2022,7,-2.86,2022-07-01
2022,8,-1.92,2022-08-01
2022,9,-1.82,2022-09-01
2022,10,-1.51,2022-10-01
2022,11,-2.12,2022-11-01
2022,12,-1.98,2022-12-01
2023,1,-0.92,2023-01-01
2023,2,-1.09,2023-02-01
2023,3,-1.63,2023-03-01
2023,4,-2.18,2023-04-01
2023,5,-1.69,2023-05-01
2023,6,-1.89,2023-06-01
2023,7,-1.85,2023-07-01
2023,8,-1.68,2023-08-01
2023,9,-2.14,2023-09-01
2023,10,-1.61,2023-10-01
2023,11,-1.31,2023-11-01
2023,12,-1.24,2023-12-01
2024,1,-0.85,2024-01-01
2024,2,-0.43,2024-02-01
2024,3,-0.56,2024-03-01
2024,4,-1.06,2024-04-01
2024,5,-2.15,2024-05-01
2024,6,-2.41,2024-06-01
2024,7,-1.97,2024-07-01
2024,8,-1.88,2024-08-01
2024,9,-2.64,2024-09-01
2024,10,-2.92,2024-10-01
2024,11,-2.41,2024-11-01
2024,12,-1.61,2024-12-01
2025,1,-0.78,2025-01-01
2025,2,-0.82,2025-02-01
2025,3,-0.41,2025-03-01
2025,4,-0.57,2025-04-01
2025,5,-1.14,2025-05-01
2025,6,-2.32,2025-06-01
2025,7,-3.51,2025-07-01
2025,8,-2.71,2025-08-01
2025,9,-9.9,2025-09-01
2025,10,-9.9,2025-10-01
2025,11,-9.9,2025-11-01
2025,12,-9.9,2025-12-01
