year,month,pdo,date
1957,11,-0.32,1957-11-01
1957,12,-0.55,1957-12-01
1958,1,0.25,1958-01-01
1958,2,0.62,1958-02-01
1958,3,0.25,1958-03-01
1958,4,1.06,1958-04-01
1958,5,1.28,1958-05-01
1958,6,1.33,1958-06-01
1958,7,0.89,1958-07-01
1958,8,1.06,1958-08-01
1958,9,0.29,1958-09-01
1958,10,0.01,1958-10-01
1958,11,-0.18,1958-11-01
1958,12,0.86,1958-12-01
1959,1,0.69,1959-01-01
1959,2,-0.43,1959-02-01
1959,3,-0.95,1959-03-01
1959,4,-0.02,1959-04-01
1959,5,0.23,1959-05-01
1959,6,0.44,1959-06-01
1959,7,-0.5,1959-07-01
1959,8,-0.62,1959-08-01
1959,9,-0.85,1959-09-01
1959,10,0.52,1959-10-01
1959,11,1.11,1959-11-01
1959,12,0.06,1959-12-01
1960,1,0.3,1960-01-01
1960,2,0.52,1960-02-01
1960,3,-0.21,1960-03-01
1960,4,0.09,1960-04-01
1960,5,0.91,1960-05-01
1960,6,0.64,1960-06-01
1960,7,-0.27,1960-07-01
1960,8,-0.38,1960-08-01
1960,9,-0.94,1960-09-01
1960,10,0.09,1960-10-01
1960,11,-0.23,1960-11-01
1960,12,0.17,1960-12-01
1961,1,1.18,1961-01-01
1961,2,0.43,1961-02-01
1961,3,0.09,1961-03-01
1961,4,0.34,1961-04-01
1961,5,-0.06,1961-05-01
1961,6,-0.61,1961-06-01
1961,7,-1.22,1961-07-01
1961,8,-1.13,1961-08-01
1961,9,-2.01,1961-09-01
1961,10,-2.28,1961-10-01
1961,11,-1.85,1961-11-01
1961,12,-2.69,1961-12-01
1962,1,-1.29,1962-01-01
1962,2,-1.15,1962-02-01
1962,3,-1.42,1962-03-01
1962,4,-0.8,1962-04-01
1962,5,-1.22,1962-05-01
1962,6,-1.62,1962-06-01
1962,7,-1.46,1962-07-01
1962,8,-0.48,1962-08-01
1962,9,-1.58,1962-09-01
1962,10,-1.55,1962-10-01
1962,11,-0.37,1962-11-01
1962,12,-0.96,1962-12-01
1963,1,-0.33,1963-01-01
1963,2,-0.16,1963-02-01
1963,3,-0.54,1963-03-01
1963,4,-0.41,1963-04-01
1963,5,-0.65,1963-05-01
1963,6,-0.88,1963-06-01
1963,7,-1.0,1963-07-01
1963,8,-1.03,1963-08-01
1963,9,0.45,1963-09-01
1963,10,-0.52,1963-10-01
1963,11,-2.08,1963-11-01
1963,12,-1.08,1963-12-01
1964,1,0.01,1964-01-01
1964,2,-0.21,1964-02-01
1964,3,-0.87,1964-03-01
1964,4,-1.03,1964-04-01
1964,5,-1.91,1964-05-01
1964,6,-0.32,1964-06-01
1964,7,-0.51,1964-07-01
1964,8,-1.03,1964-08-01
1964,9,-0.68,1964-09-01
1964,10,-0.37,1964-10-01
1964,11,-0.8,1964-11-01
1964,12,-1.52,1964-12-01
1965,1,-1.24,1965-01-01
1965,2,-1.16,1965-02-01
1965,3,0.04,1965-03-01
1965,4,0.62,1965-04-01
1965,5,-0.66,1965-05-01
1965,6,-0.8,1965-06-01
1965,7,-0.47,1965-07-01
1965,8,0.2,1965-08-01
1965,9,0.59,1965-09-01
1965,10,-0.36,1965-10-01
1965,11,-0.59,1965-11-01
1965,12,0.06,1965-12-01
1966,1,-0.82,1966-01-01
1966,2,-0.03,1966-02-01
1966,3,-1.29,1966-03-01
1966,4,0.06,1966-04-01
1966,5,-0.53,1966-05-01
1966,6,0.16,1966-06-01
1966,7,0.26,1966-07-01
1966,8,-0.35,1966-08-01
1966,9,-0.33,1966-09-01
1966,10,-1.17,1966-10-01
1966,11,-1.15,1966-11-01
1966,12,-0.32,1966-12-01
1967,1,-0.2,1967-01-01
1967,2,-0.18,1967-02-01
1967,3,-1.2,1967-03-01
1967,4,-0.89,1967-04-01
1967,5,-1.24,1967-05-01
1967,6,-1.16,1967-06-01
1967,7,-0.89,1967-07-01
1967,8,-1.24,1967-08-01
1967,9,-0.72,1967-09-01
1967,10,-0.64,1967-10-01
1967,11,-0.05,1967-11-01
1967,12,-0.4,1967-12-01
1968,1,-0.95,1968-01-01
1968,2,-0.4,1968-02-01
1968,3,-0.31,1968-03-01
1968,4,-1.03,1968-04-01
1968,5,-0.53,1968-05-01
1968,6,-0.35,1968-06-01
1968,7,0.53,1968-07-01
1968,8,0.19,1968-08-01
1968,9,0.06,1968-09-01
1968,10,-0.34,1968-10-01
1968,11,-0.44,1968-11-01
1968,12,-1.27,1968-12-01
1969,1,-1.26,1969-01-01
1969,2,-0.95,1969-02-01
1969,3,-0.5,1969-03-01
1969,4,-0.44,1969-04-01
1969,5,-0.2,1969-05-01
1969,6,0.89,1969-06-01
1969,7,0.1,1969-07-01
1969,8,-0.81,1969-08-01
1969,9,-0.66,1969-09-01
1969,10,1.12,1969-10-01
1969,11,0.15,1969-11-01
1969,12,1.38,1969-12-01
1970,1,0.61,1970-01-01
1970,2,0.43,1970-02-01
1970,3,1.33,1970-03-01
1970,4,0.43,1970-04-01
1970,5,-0.49,1970-05-01
1970,6,0.06,1970-06-01
1970,7,-0.68,1970-07-01
1970,8,-1.63,1970-08-01
1970,9,-1.67,1970-09-01
1970,10,-1.39,1970-10-01
1970,11,-0.8,1970-11-01
1970,12,-0.97,1970-12-01
1971,1,-1.9,1971-01-01
1971,2,-1.74,1971-02-01
1971,3,-1.68,1971-03-01
1971,4,-1.59,1971-04-01
1971,5,-1.55,1971-05-01
1971,6,-1.55,1971-06-01
1971,7,-2.2,1971-07-01
1971,8,-0.15,1971-08-01
1971,9,0.21,1971-09-01
1971,10,-0.22,1971-10-01
1971,11,-1.25,1971-11-01
1971,12,-1.87,1971-12-01
1972,1,-1.99,1972-01-01
1972,2,-1.83,1972-02-01
1972,3,-2.09,1972-03-01
1972,4,-1.65,1972-04-01
1972,5,-1.57,1972-05-01
1972,6,-1.87,1972-06-01
1972,7,-0.83,1972-07-01
1972,8,0.25,1972-08-01
1972,9,0.17,1972-09-01
1972,10,0.11,1972-10-01
1972,11,0.57,1972-11-01
1972,12,-0.33,1972-12-01
1973,1,-0.46,1973-01-01
1973,2,-0.61,1973-02-01
1973,3,-0.5,1973-03-01
1973,4,-0.69,1973-04-01
1973,5,-0.76,1973-05-01
1973,6,-0.97,1973-06-01
1973,7,-0.57,1973-07-01
1973,8,-1.14,1973-08-01
1973,9,-0.51,1973-09-01
1973,10,-0.87,1973-10-01
1973,11,-1.81,1973-11-01
1973,12,-0.76,1973-12-01
1974,1,-1.22,1974-01-01
1974,2,-1.65,1974-02-01
1974,3,-0.9,1974-03-01
1974,4,-0.52,1974-04-01
1974,5,-0.28,1974-05-01
1974,6,-0.31,1974-06-01
1974,7,-0.08,1974-07-01
1974,8,0.27,1974-08-01
1974,9,0.44,1974-09-01
1974,10,-0.1,1974-10-01
1974,11,0.43,1974-11-01
1974,12,-0.12,1974-12-01
1975,1,-0.84,1975-01-01
1975,2,-0.71,1975-02-01
1975,3,-0.51,1975-03-01
1975,4,-1.3,1975-04-01
1975,5,-1.02,1975-05-01
1975,6,-1.16,1975-06-01
1975,7,-0.4,1975-07-01
1975,8,-1.07,1975-08-01
1975,9,-1.23,1975-09-01
1975,10,-1.29,1975-10-01
1975,11,-2.08,1975-11-01
1975,12,-1.61,1975-12-01
1976,1,-1.14,1976-01-01
1976,2,-1.85,1976-02-01
1976,3,-0.96,1976-03-01
1976,4,-0.89,1976-04-01
1976,5,-0.68,1976-05-01
1976,6,-0.67,1976-06-01
1976,7,0.61,1976-07-01
1976,8,1.28,1976-08-01
1976,9,0.82,1976-09-01
1976,10,1.11,1976-10-01
1976,11,1.25,1976-11-01
1976,12,1.22,1976-12-01
1977,1,1.65,1977-01-01
1977,2,1.11,1977-02-01
1977,3,0.72,1977-03-01
1977,4,0.3,1977-04-01
1977,5,0.31,1977-05-01
1977,6,0.42,1977-06-01
1977,7,0.19,1977-07-01
1977,8,0.64,1977-08-01
1977,9,-0.55,1977-09-01
1977,10,-0.61,1977-10-01
1977,11,-0.72,1977-11-01
1977,12,-0.69,1977-12-01
1978,1,0.34,1978-01-01
1978,2,1.45,1978-02-01
1978,3,1.34,1978-03-01
1978,4,1.29,1978-04-01
1978,5,0.9,1978-05-01
1978,6,0.15,1978-06-01
