year,season,oni
1970,FMA,0.29
1970,MAM,0.19
1970,AMJ,0.04
1970,MJJ,-0.3
1970,JJA,-0.63
1970,JAS,-0.76
1970,ASO,-0.77
1970,SON,-0.74
1970,OND,-0.86
1970,NDJ,-1.15
1971,DJF,-1.36
1971,JFM,-1.38
1971,FMA,-1.12
1971,MAM,-0.85
1971,AMJ,-0.73
1971,MJJ,-0.74
1971,JJA,-0.8
1971,JAS,-0.77
1971,ASO,-0.82
1971,SON,-0.85
1971,OND,-0.96
1971,NDJ,-0.9
1972,DJF,-0.71
1972,JFM,-0.35
1972,FMA,0.06
1972,MAM,0.41
1972,AMJ,0.67
1972,MJJ,0.92
1972,JJA,1.13
1972,JAS,1.37
1972,ASO,1.58
1972,SON,1.84
1972,OND,2.09
1972,NDJ,2.12
1973,DJF,1.84
1973,JFM,1.25
1973,FMA,0.54
1973,MAM,-0.1
1973,AMJ,-0.54
1973,MJJ,-0.87
1973,JJA,-1.11
1973,JAS,-1.28
1973,ASO,-1.45
1973,SON,-1.71
1973,OND,-1.95
1973,NDJ,-2.03
1974,DJF,-1.84
1974,JFM,-1.55
1974,FMA,-1.23
1974,MAM,-1.03
1974,AMJ,-0.91
1974,MJJ,-0.77
1974,JJA,-0.53
1974,JAS,-0.37
1974,ASO,-0.41
1974,SON,-0.61
1974,OND,-0.75
1974,NDJ,-0.64
1975,DJF,-0.54
1975,JFM,-0.57
1975,FMA,-0.65
1975,MAM,-0.73
1975,AMJ,-0.83
1975,MJJ,-0.98
1975,JJA,-1.13
1975,JAS,-1.2
1975,ASO,-1.37
1975,SON,-1.43
1975,OND,-1.55
1975,NDJ,-1.65
1976,DJF,-1.56
1976,JFM,-1.17
1976,FMA,-0.73
1976,MAM,-0.47
1976,AMJ,-0.28
1976,MJJ,-0.05
1976,JJA,0.18
1976,JAS,0.35
1976,ASO,0.62
1976,SON,0.81
1976,OND,0.86
1976,NDJ,0.85
1977,DJF,0.71
1977,JFM,0.64
1977,FMA,0.34
1977,MAM,0.23
1977,AMJ,0.21
1977,MJJ,0.34
1977,JJA,0.35
1977,JAS,0.42
1977,ASO,0.57
1977,SON,0.73
1977,OND,0.81
1977,NDJ,0.79
1978,DJF,0.69
1978,JFM,0.42
1978,FMA,0.06
1978,MAM,-0.18
1978,AMJ,-0.31
1978,MJJ,-0.29
1978,JJA,-0.36
1978,JAS,-0.42
1978,ASO,-0.42
1978,SON,-0.29
1978,OND,-0.08
1978,NDJ,0.0
1979,DJF,0.03
1979,JFM,0.07
1979,FMA,0.2
1979,MAM,0.28
1979,AMJ,0.23
1979,MJJ,0.05
1979,JJA,0.04
1979,JAS,0.17
1979,ASO,0.33
1979,SON,0.45
1979,OND,0.52
1979,NDJ,0.64
1980,DJF,0.59
1980,JFM,0.46
1980,FMA,0.34
1980,MAM,0.38
1980,AMJ,0.48
1980,MJJ,0.46
1980,JJA,0.25
1980,JAS,0.03
1980,ASO,-0.07
1980,SON,0.02
1980,OND,0.11
1980,NDJ,-0.01
1981,DJF,-0.26
1981,JFM,-0.5
1981,FMA,-0.47
1981,MAM,-0.37
1981,AMJ,-0.26
1981,MJJ,-0.29
1981,JJA,-0.3
1981,JAS,-0.25
1981,ASO,-0.16
1981,SON,-0.13
1981,OND,-0.15
1981,NDJ,-0.08
1982,DJF,-0.05
1982,JFM,0.07
1982,FMA,0.19
1982,MAM,0.47
1982,AMJ,0.66
1982,MJJ,0.72
1982,JJA,0.79
1982,JAS,1.07
1982,ASO,1.58
1982,SON,1.97
1982,OND,2.18
1982,NDJ,2.23
1983,DJF,2.18
1983,JFM,1.92
1983,FMA,1.54
1983,MAM,1.29
1983,AMJ,1.06
1983,MJJ,0.72
1983,JJA,0.31
1983,JAS,-0.08
1983,ASO,-0.46
1983,SON,-0.81
1983,OND,-1.0
1983,NDJ,-0.91
1984,DJF,-0.6
1984,JFM,-0.42
1984,FMA,-0.34
1984,MAM,-0.43
1984,AMJ,-0.51
1984,MJJ,-0.45
1984,JJA,-0.3
1984,JAS,-0.16
1984,ASO,-0.24
1984,SON,-0.56
1984,OND,-0.92
1984,NDJ,-1.14
1985,DJF,-1.04
1985,JFM,-0.85
1985,FMA,-0.77
1985,MAM,-0.78
1985,AMJ,-0.78
1985,MJJ,-0.63
1985,JJA,-0.49
1985,JAS,-0.46
1985,ASO,-0.4
1985,SON,-0.35
1985,OND,-0.27
1985,NDJ,-0.36
1986,DJF,-0.49
1986,JFM,-0.47
1986,FMA,-0.31
1986,MAM,-0.2
1986,AMJ,-0.12
1986,MJJ,-0.04
1986,JJA,0.22
1986,JAS,0.44
1986,ASO,0.71
1986,SON,0.94
1986,OND,1.14
1986,NDJ,1.22
1987,DJF,1.23
1987,JFM,1.19
1987,FMA,1.06
1987,MAM,0.95
1987,AMJ,0.97
1987,MJJ,1.22
1987,JJA,1.51
1987,JAS,1.7
1987,ASO,1.65
1987,SON,1.48
1987,OND,1.25
1987,NDJ,1.11
1988,DJF,0.81
1988,JFM,0.54
1988,FMA,0.14
1988,MAM,-0.31
1988,AMJ,-0.88
1988,MJJ,-1.3
1988,JJA,-1.3
1988,JAS,-1.11
1988,ASO,-1.19
1988,SON,-1.48
1988,OND,-1.8
1988,NDJ,-1.85
1989,DJF,-1.69
1989,JFM,-1.43
1989,FMA,-1.08
1989,MAM,-0.83
1989,AMJ,-0.58
1989,MJJ,-0.4
1989,JJA,-0.31
1989,JAS,-0.27
1989,ASO,-0.24
1989,SON,-0.22
1989,OND,-0.16
1989,NDJ,-0.05
1990,DJF,0.14
1990,JFM,0.21
1990,FMA,0.28
1990,MAM,0.29
1990,AMJ,0.29
1990,MJJ,0.31
