year,month,tna,date
2021,5,0.24,2021-05-01
2021,6,0.14,2021-06-01
2021,7,0.25,2021-07-01
2021,8,0.26,2021-08-01
2021,9,0.54,2021-09-01
2021,10,0.46,2021-10-01
2021,11,0.42,2021-11-01
2021,12,0.46,2021-12-01
2022,1,0.61,2022-01-01
2022,2,0.57,2022-02-01
2022,3,0.08,2022-03-01
2022,4,0.04,2022-04-01
2022,5,0.34,2022-05-01
2022,6,0.48,2022-06-01
2022,7,0.32,2022-07-01
2022,8,0.47,2022-08-01
2022,9,0.62,2022-09-01
2022,10,0.5,2022-10-01
2022,11,0.33,2022-11-01
2022,12,0.48,2022-12-01
2023,1,0.47,2023-01-01
2023,2,0.22,2023-02-01
2023,3,0.64,2023-03-01
2023,4,0.78,2023-04-01
2023,5,1.04,2023-05-01
2023,6,1.41,2023-06-01
2023,7,1.41,2023-07-01
2023,8,1.36,2023-08-01
2023,9,1.43,2023-09-01
2023,10,1.32,2023-10-01
2023,11,1.09,2023-11-01
2023,12,1.17,2023-12-01
2024,1,1.42,2024-01-01
2024,2,1.59,2024-02-01
2024,3,1.36,2024-03-01
2024,4,1.32,2024-04-01
2024,5,1.43,2024-05-01
2024,6,1.34,2024-06-01
2024,7,1.14,2024-07-01
2024,8,1.13,2024-08-01
2024,9,1.04,2024-09-01
2024,10,1.03,2024-10-01
2024,11,0.98,2024-11-01
2024,12,0.91,2024-12-01
2025,1,0.91,2025-01-01
2025,2,0.59,2025-02-01
2025,3,0.4,2025-03-01
2025,4,0.22,2025-04-01
2025,5,0.32,2025-05-01
2025,6,0.35,2025-06-01
2025,7,0.59,2025-07-01
2025,8,0.75,2025-08-01
2025,9,0.73,2025-09-01
2025,10,0.74,2025-10-01
2025,11,0.78,2025-11-01
2025,12,0.54,2025-12-01
