lat,lon,sst,anom,date
-73.875,-143.875,-1.792,-0.059,2026-06
-73.875,-141.875,-1.765,-0.037,2026-06
-73.875,-139.875,-1.8,-0.068,2026-06
-73.875,-137.875,-1.798,-0.061,2026-06
-73.875,-135.875,-1.789,-0.048,2026-06
-73.875,-133.875,-1.729,-0.025,2026-06
-73.875,-131.875,-1.714,-0.005,2026-06
-73.875,-129.875,-1.753,-0.043,2026-06
-73.875,-127.875,-1.629,-0.019,2026-06
-73.875,-125.875,-1.687,-0.063,2026-06
-73.875,-123.875,-1.574,0.094,2026-06
-73.875,-117.875,-1.708,-0.032,2026-06
-73.875,-115.875,-1.691,-0.025,2026-06
-73.875,-113.875,-1.69,-0.068,2026-06
-73.875,-111.875,-1.544,0.007,2026-06
-73.875,-109.875,-1.56,0.069,2026-06
-73.875,-107.875,-1.553,0.157,2026-06
-73.875,-105.875,-1.688,0.04,2026-06
-73.875,-103.875,-1.706,-0.009,2026-06
-73.875,-81.875,-1.61,-0.011,2026-06
-73.875,-59.875,-1.72,-0.026,2026-06
-73.875,-57.875,-1.8,-0.064,2026-06
-73.875,-55.875,-1.8,-0.048,2026-06
-73.875,-53.875,-1.8,-0.037,2026-06
-73.875,-51.875,-1.8,-0.029,2026-06
-73.875,-49.875,-1.8,-0.026,2026-06
-73.875,-47.875,-1.8,-0.023,2026-06
-73.875,-45.875,-1.8,-0.023,2026-06
-73.875,-43.875,-1.8,-0.022,2026-06
-73.875,-41.875,-1.8,-0.022,2026-06
-73.875,-39.875,-1.8,-0.024,2026-06
-73.875,-37.875,-1.8,-0.023,2026-06
-73.875,-35.875,-1.8,-0.022,2026-06
-73.875,-33.875,-1.8,-0.023,2026-06
-73.875,-31.875,-1.8,-0.021,2026-06
-73.875,-29.875,-1.799,-0.019,2026-06
-73.875,-27.875,-1.79,-0.016,2026-06
-73.875,-25.875,-1.712,0.012,2026-06
-73.875,-23.875,-1.697,-0.0,2026-06
-73.875,-21.875,-1.696,-0.031,2026-06
-73.875,-19.875,-1.401,0.19,2026-06
-73.875,-17.875,-1.738,-0.156,2026-06
-71.875,68.125,-1.522,-0.007,2026-06
-71.875,70.125,-1.53,-0.012,2026-06
-71.875,172.125,-1.78,-0.124,2026-06
-71.875,174.125,-1.796,-0.092,2026-06
-71.875,176.125,-1.8,-0.065,2026-06
-71.875,178.125,-1.8,-0.055,2026-06
-71.875,-179.875,-1.8,-0.065,2026-06
-71.875,-177.875,-1.8,-0.079,2026-06
-71.875,-175.875,-1.8,-0.072,2026-06
-71.875,-173.875,-1.8,-0.063,2026-06
-71.875,-171.875,-1.8,-0.056,2026-06
-71.875,-169.875,-1.8,-0.055,2026-06
-71.875,-167.875,-1.8,-0.053,2026-06
-71.875,-165.875,-1.8,-0.053,2026-06
-71.875,-163.875,-1.8,-0.054,2026-06
-71.875,-161.875,-1.8,-0.056,2026-06
-71.875,-159.875,-1.8,-0.055,2026-06
-71.875,-157.875,-1.774,-0.032,2026-06
-71.875,-155.875,-1.783,-0.045,2026-06
-71.875,-153.875,-1.8,-0.061,2026-06
-71.875,-151.875,-1.8,-0.063,2026-06
-71.875,-149.875,-1.794,-0.057,2026-06
-71.875,-147.875,-1.76,-0.025,2026-06
-71.875,-145.875,-1.775,-0.038,2026-06
-71.875,-143.875,-1.778,-0.042,2026-06
-71.875,-141.875,-1.797,-0.059,2026-06
-71.875,-139.875,-1.793,-0.054,2026-06
-71.875,-137.875,-1.775,-0.036,2026-06
-71.875,-135.875,-1.789,-0.049,2026-06
-71.875,-133.875,-1.789,-0.051,2026-06
-71.875,-131.875,-1.793,-0.058,2026-06
-71.875,-129.875,-1.784,-0.052,2026-06
-71.875,-127.875,-1.741,-0.014,2026-06
-71.875,-125.875,-1.696,0.028,2026-06
-71.875,-123.875,-1.678,0.043,2026-06
-71.875,-121.875,-1.714,0.006,2026-06
-71.875,-119.875,-1.684,0.037,2026-06
-71.875,-117.875,-1.67,0.048,2026-06
-71.875,-115.875,-1.663,0.051,2026-06
-71.875,-113.875,-1.664,0.05,2026-06
-71.875,-111.875,-1.671,0.046,2026-06
-71.875,-109.875,-1.686,0.025,2026-06
-71.875,-107.875,-1.675,0.038,2026-06
-71.875,-105.875,-1.656,0.053,2026-06
-71.875,-103.875,-1.653,0.038,2026-06
-71.875,-101.875,-1.672,-0.015,2026-06
-71.875,-99.875,-1.584,0.043,2026-06
-71.875,-97.875,-1.592,0.023,2026-06
-71.875,-95.875,-1.582,0.056,2026-06
-71.875,-93.875,-1.686,0.017,2026-06
-71.875,-91.875,-1.687,0.02,2026-06
-71.875,-89.875,-1.706,0.012,2026-06
-71.875,-87.875,-1.707,0.023,2026-06
-71.875,-85.875,-1.724,0.011,2026-06
-71.875,-83.875,-1.68,0.061,2026-06
-71.875,-81.875,-1.59,0.146,2026-06
-71.875,-79.875,-1.525,0.182,2026-06
-71.875,-77.875,-1.475,0.239,2026-06
-71.875,-75.875,-1.343,0.329,2026-06
-71.875,-71.875,-1.536,-0.05,2026-06
-71.875,-67.875,-1.382,0.032,2026-06
-71.875,-61.875,-1.79,-0.175,2026-06
-71.875,-59.875,-1.751,-0.041,2026-06
-71.875,-57.875,-1.8,-0.029,2026-06
-71.875,-55.875,-1.8,-0.028,2026-06
-71.875,-53.875,-1.8,-0.022,2026-06
-71.875,-51.875,-1.8,-0.017,2026-06
-71.875,-49.875,-1.8,-0.016,2026-06
-71.875,-47.875,-1.799,-0.018,2026-06
-71.875,-45.875,-1.8,-0.023,2026-06
-71.875,-43.875,-1.799,-0.022,2026-06
-71.875,-41.875,-1.8,-0.023,2026-06
-71.875,-39.875,-1.8,-0.025,2026-06
-71.875,-37.875,-1.8,-0.024,2026-06
-71.875,-35.875,-1.8,-0.024,2026-06
-71.875,-33.875,-1.8,-0.024,2026-06
-71.875,-31.875,-1.8,-0.025,2026-06
-71.875,-29.875,-1.8,-0.024,2026-06
-71.875,-27.875,-1.8,-0.024,2026-06
-71.875,-25.875,-1.8,-0.021,2026-06
-71.875,-23.875,-1.8,-0.023,2026-06
-71.875,-21.875,-1.8,-0.023,2026-06
-71.875,-19.875,-1.8,-0.025,2026-06
-71.875,-17.875,-1.799,-0.029,2026-06
-71.875,-15.875,-1.795,-0.067,2026-06
-71.875,-13.875,-1.746,-0.073,2026-06
-71.875,-11.875,-1.764,-0.232,2026-06
-69.875,0.125,-1.769,-0.064,2026-06
-69.875,2.125,-1.795,-0.044,2026-06
-69.875,4.125,-1.742,-0.019,2026-06
-69.875,6.125,-1.717,-0.013,2026-06
-69.875,8.125,-1.731,-0.039,2026-06
-69.875,10.125,-1.692,-0.017,2026-06
-69.875,12.125,-1.663,-0.008,2026-06
-69.875,14.125,-1.751,-0.107,2026-06
-69.875,16.125,-1.701,0.004,2026-06
-69.875,18.125,-1.728,-0.035,2026-06
-69.875,20.125,-1.736,-0.05,2026-06
-69.875,22.125,-1.718,0.003,2026-06
-69.875,24.125,-1.727,-0.017,2026-06
-69.875,26.125,-1.7,-0.004,2026-06
-69.875,28.125,-1.659,0.004,2026-06
-69.875,38.125,-1.749,-0.069,2026-06
-69.875,68.125,-1.566,-0.044,2026-06
-69.875,70.125,-1.627,-0.126,2026-06
-69.875,72.125,-1.516,0.043,2026-06
-69.875,160.125,-1.8,-0.123,2026-06
-69.875,162.125,-1.8,-0.084,2026-06
-69.875,164.125,-1.8,-0.034,2026-06
-69.875,166.125,-1.8,-0.033,2026-06
-69.875,168.125,-1.8,-0.032,2026-06
-69.875,170.125,-1.8,-0.047,2026-06
-69.875,172.125,-1.8,-0.065,2026-06
-69.875,174.125,-1.787,-0.063,2026-06
-69.875,176.125,-1.791,-0.072,2026-06
-69.875,178.125,-1.799,-0.082,2026-06
-69.875,-179.875,-1.8,-0.081,2026-06
-69.875,-177.875,-1.8,-0.079,2026-06
-69.875,-175.875,-1.8,-0.074,2026-06
-69.875,-173.875,-1.8,-0.077,2026-06
-69.875,-171.875,-1.8,-0.079,2026-06
-69.875,-169.875,-1.8,-0.076,2026-06
-69.875,-167.875,-1.8,-0.072,2026-06
-69.875,-165.875,-1.8,-0.067,2026-06
-69.875,-163.875,-1.8,-0.069,2026-06
-69.875,-161.875,-1.8,-0.07,2026-06
-69.875,-159.875,-1.8,-0.066,2026-06
-69.875,-157.875,-1.8,-0.064,2026-06
-69.875,-155.875,-1.8,-0.065,2026-06
-69.875,-153.875,-1.798,-0.068,2026-06
-69.875,-151.875,-1.8,-0.073,2026-06
-69.875,-149.875,-1.799,-0.071,2026-06
-69.875,-147.875,-1.8,-0.071,2026-06
-69.875,-145.875,-1.794,-0.066,2026-06
-69.875,-143.875,-1.791,-0.064,2026-06
-69.875,-141.875,-1.778,-0.056,2026-06
-69.875,-139.875,-1.767,-0.055,2026-06
-69.875,-137.875,-1.778,-0.069,2026-06
-69.875,-135.875,-1.783,-0.067,2026-06
-69.875,-133.875,-1.79,-0.076,2026-06
-69.875,-131.875,-1.792,-0.083,2026-06
-69.875,-129.875,-1.787,-0.079,2026-06
-69.875,-127.875,-1.779,-0.074,2026-06
-69.875,-125.875,-1.746,-0.039,2026-06
-69.875,-123.875,-1.716,-0.01,2026-06
-69.875,-121.875,-1.715,-0.015,2026-06
-69.875,-119.875,-1.701,0.004,2026-06
-69.875,-117.875,-1.702,-0.0,2026-06
-69.875,-115.875,-1.698,0.006,2026-06
-69.875,-113.875,-1.72,-0.017,2026-06
-69.875,-111.875,-1.709,-0.004,2026-06
-69.875,-109.875,-1.715,-0.008,2026-06
-69.875,-107.875,-1.687,0.018,2026-06
-69.875,-105.875,-1.649,0.061,2026-06
-69.875,-103.875,-1.606,0.105,2026-06
-69.875,-101.875,-1.534,0.173,2026-06
-69.875,-99.875,-1.363,0.329,2026-06
-69.875,-97.875,-1.257,0.413,2026-06
-69.875,-95.875,-1.282,0.392,2026-06
-69.875,-93.875,-1.304,0.396,2026-06
-69.875,-91.875,-1.24,0.468,2026-06
-69.875,-89.875,-1.431,0.29,2026-06
-69.875,-87.875,-1.49,0.236,2026-06
-69.875,-85.875,-1.57,0.153,2026-06
-69.875,-83.875,-1.538,0.185,2026-06
-69.875,-81.875,-1.417,0.311,2026-06
-69.875,-79.875,-1.325,0.4,2026-06
-69.875,-77.875,-1.186,0.505,2026-06
-69.875,-75.875,-1.074,0.588,2026-06
-69.875,-73.875,-1.33,0.262,2026-06
-69.875,-71.875,-1.345,0.238,2026-06
-69.875,-61.875,-1.766,-0.142,2026-06
-69.875,-59.875,-1.8,-0.03,2026-06
-69.875,-57.875,-1.8,-0.012,2026-06
-69.875,-55.875,-1.8,-0.014,2026-06
-69.875,-53.875,-1.8,-0.014,2026-06
-69.875,-51.875,-1.8,-0.014,2026-06
-69.875,-49.875,-1.8,-0.015,2026-06
-69.875,-47.875,-1.8,-0.02,2026-06
-69.875,-45.875,-1.8,-0.022,2026-06
-69.875,-43.875,-1.8,-0.024,2026-06
-69.875,-41.875,-1.8,-0.026,2026-06
-69.875,-39.875,-1.8,-0.028,2026-06
-69.875,-37.875,-1.8,-0.029,2026-06
-69.875,-35.875,-1.8,-0.029,2026-06
-69.875,-33.875,-1.8,-0.033,2026-06
-69.875,-31.875,-1.8,-0.035,2026-06
-69.875,-29.875,-1.8,-0.036,2026-06
-69.875,-27.875,-1.8,-0.036,2026-06
-69.875,-25.875,-1.8,-0.037,2026-06
-69.875,-23.875,-1.8,-0.036,2026-06
-69.875,-21.875,-1.8,-0.036,2026-06
-69.875,-19.875,-1.8,-0.039,2026-06
-69.875,-17.875,-1.8,-0.039,2026-06
-69.875,-15.875,-1.793,-0.035,2026-06
-69.875,-13.875,-1.8,-0.044,2026-06
-69.875,-11.875,-1.8,-0.048,2026-06
-69.875,-9.875,-1.799,-0.053,2026-06
-69.875,-7.875,-1.795,-0.05,2026-06
-69.875,-5.875,-1.779,-0.047,2026-06
-69.875,-3.875,-1.746,-0.038,2026-06
-69.875,-1.875,-1.682,-0.024,2026-06
-67.875,0.125,-1.778,-0.033,2026-06
-67.875,2.125,-1.747,-0.008,2026-06
-67.875,4.125,-1.76,-0.016,2026-06
-67.875,6.125,-1.773,-0.023,2026-06
-67.875,8.125,-1.789,-0.029,2026-06
-67.875,10.125,-1.794,-0.03,2026-06
-67.875,12.125,-1.796,-0.031,2026-06
-67.875,14.125,-1.797,-0.031,2026-06
-67.875,16.125,-1.798,-0.035,2026-06
-67.875,18.125,-1.799,-0.037,2026-06
-67.875,20.125,-1.797,-0.032,2026-06
-67.875,22.125,-1.797,-0.028,2026-06
-67.875,24.125,-1.799,-0.029,2026-06
-67.875,26.125,-1.795,-0.026,2026-06
-67.875,28.125,-1.782,-0.022,2026-06
-67.875,30.125,-1.774,-0.015,2026-06
-67.875,32.125,-1.793,-0.034,2026-06
-67.875,34.125,-1.79,-0.031,2026-06
-67.875,36.125,-1.799,-0.023,2026-06
-67.875,38.125,-1.799,-0.024,2026-06
-67.875,40.125,-1.792,-0.038,2026-06
-67.875,42.125,-1.707,-0.021,2026-06
-67.875,44.125,-1.73,-0.017,2026-06
-67.875,70.125,-1.716,-0.073,2026-06
-67.875,72.125,-1.754,-0.052,2026-06
-67.875,74.125,-1.793,-0.047,2026-06
-67.875,76.125,-1.786,-0.081,2026-06
-67.875,78.125,-1.74,-0.127,2026-06
-67.875,80.125,-1.689,-0.103,2026-06
-67.875,148.125,-1.8,-0.184,2026-06
-67.875,150.125,-1.798,-0.104,2026-06
-67.875,152.125,-1.732,-0.016,2026-06
-67.875,154.125,-1.792,-0.052,2026-06
-67.875,156.125,-1.8,-0.045,2026-06
-67.875,158.125,-1.8,-0.055,2026-06
