year,month,nino12,date
1960,2,-0.42,1960-02-01
1960,3,-0.25,1960-03-01
1960,4,-1.11,1960-04-01
1960,5,-1.09,1960-05-01
1960,6,-1.41,1960-06-01
1960,7,-1.32,1960-07-01
1960,8,-1.02,1960-08-01
1960,9,-0.27,1960-09-01
1960,10,-0.91,1960-10-01
1960,11,-0.6,1960-11-01
1960,12,-0.29,1960-12-01
1961,1,-0.08,1961-01-01
1961,2,0.45,1961-02-01
1961,3,-0.73,1961-03-01
1961,4,-0.78,1961-04-01
1961,5,-0.92,1961-05-01
1961,6,-0.98,1961-06-01
1961,7,-1.53,1961-07-01
1961,8,-1.14,1961-08-01
1961,9,-1.14,1961-09-01
1961,10,-1.05,1961-10-01
1961,11,-0.67,1961-11-01
1961,12,-0.88,1961-12-01
1962,1,-0.74,1962-01-01
1962,2,-0.73,1962-02-01
1962,3,-2.13,1962-03-01
1962,4,-2.38,1962-04-01
1962,5,-1.51,1962-05-01
1962,6,-1.35,1962-06-01
1962,7,-1.32,1962-07-01
1962,8,-0.77,1962-08-01
1962,9,-0.74,1962-09-01
1962,10,-1.17,1962-10-01
1962,11,-0.87,1962-11-01
1962,12,-1.09,1962-12-01
1963,1,-0.85,1963-01-01
1963,2,-0.82,1963-02-01
1963,3,-0.76,1963-03-01
1963,4,-1.21,1963-04-01
1963,5,-0.57,1963-05-01
1963,6,-0.87,1963-06-01
1963,7,-0.34,1963-07-01
1963,8,0.15,1963-08-01
1963,9,0.05,1963-09-01
1963,10,-0.05,1963-10-01
1963,11,-0.22,1963-11-01
1963,12,-0.29,1963-12-01
1964,1,-0.65,1964-01-01
1964,2,-1.29,1964-02-01
1964,3,-1.4,1964-03-01
1964,4,-1.35,1964-04-01
1964,5,-2.67,1964-05-01
1964,6,-1.88,1964-06-01
1964,7,-1.77,1964-07-01
1964,8,-1.67,1964-08-01
1964,9,-1.23,1964-09-01
1964,10,-1.44,1964-10-01
1964,11,-0.97,1964-11-01
1964,12,-1.33,1964-12-01
1965,1,-0.69,1965-01-01
1965,2,-0.32,1965-02-01
1965,3,-0.01,1965-03-01
1965,4,1.34,1965-04-01
1965,5,1.53,1965-05-01
1965,6,1.23,1965-06-01
1965,7,1.04,1965-07-01
1965,8,1.38,1965-08-01
1965,9,0.38,1965-09-01
1965,10,0.32,1965-10-01
1965,11,0.43,1965-11-01
1965,12,0.35,1965-12-01
1966,1,0.37,1966-01-01
1966,2,-0.62,1966-02-01
1966,3,-1.47,1966-03-01
1966,4,-1.57,1966-04-01
1966,5,-1.72,1966-05-01
1966,6,-1.56,1966-06-01
1966,7,-1.29,1966-07-01
1966,8,-1.18,1966-08-01
1966,9,-0.89,1966-09-01
1966,10,-0.58,1966-10-01
1966,11,-0.91,1966-11-01
1966,12,-0.62,1966-12-01
1967,1,-1.04,1967-01-01
1967,2,-0.58,1967-02-01
1967,3,-1.04,1967-03-01
1967,4,-0.72,1967-04-01
1967,5,-0.82,1967-05-01
1967,6,-1.06,1967-06-01
1967,7,-1.1,1967-07-01
1967,8,-1.5,1967-08-01
1967,9,-1.81,1967-09-01
1967,10,-1.73,1967-10-01
1967,11,-1.77,1967-11-01
1967,12,-1.84,1967-12-01
1968,1,-1.62,1968-01-01
1968,2,-1.41,1968-02-01
1968,3,-1.58,1968-03-01
1968,4,-1.77,1968-04-01
1968,5,-2.03,1968-05-01
1968,6,-1.61,1968-06-01
1968,7,-0.81,1968-07-01
1968,8,-0.26,1968-08-01
1968,9,0.33,1968-09-01
1968,10,-0.14,1968-10-01
1968,11,-0.09,1968-11-01
1968,12,0.16,1968-12-01
1969,1,-0.2,1969-01-01
1969,2,-0.75,1969-02-01
1969,3,0.34,1969-03-01
1969,4,0.88,1969-04-01
1969,5,1.31,1969-05-01
1969,6,0.97,1969-06-01
1969,7,0.28,1969-07-01
1969,8,-0.13,1969-08-01
1969,9,0.02,1969-09-01
1969,10,0.6,1969-10-01
1969,11,0.57,1969-11-01
1969,12,0.59,1969-12-01
1970,1,0.39,1970-01-01
1970,2,-0.38,1970-02-01
1970,3,-1.25,1970-03-01
1970,4,-0.98,1970-04-01
1970,5,-1.79,1970-05-01
1970,6,-2.0,1970-06-01
1970,7,-2.51,1970-07-01
1970,8,-1.85,1970-08-01
1970,9,-1.43,1970-09-01
1970,10,-1.14,1970-10-01
1970,11,-1.17,1970-11-01
1970,12,-1.15,1970-12-01
1971,1,-1.44,1971-01-01
1971,2,-1.68,1971-02-01
1971,3,-1.45,1971-03-01
1971,4,-0.66,1971-04-01
1971,5,-1.24,1971-05-01
1971,6,-1.54,1971-06-01
1971,7,-1.03,1971-07-01
1971,8,-1.23,1971-08-01
1971,9,-1.22,1971-09-01
1971,10,-1.29,1971-10-01
1971,11,-0.76,1971-11-01
1971,12,-0.99,1971-12-01
1972,1,-0.38,1972-01-01
1972,2,0.45,1972-02-01
1972,3,0.58,1972-03-01
1972,4,0.64,1972-04-01
1972,5,0.71,1972-05-01
1972,6,1.78,1972-06-01
1972,7,2.03,1972-07-01
1972,8,2.37,1972-08-01
1972,9,1.23,1972-09-01
1972,10,1.39,1972-10-01
1972,11,1.38,1972-11-01
1972,12,2.01,1972-12-01
1973,1,1.26,1973-01-01
1973,2,0.16,1973-02-01
1973,3,-0.58,1973-03-01
1973,4,-1.11,1973-04-01
1973,5,-1.37,1973-05-01
1973,6,-1.61,1973-06-01
1973,7,-1.23,1973-07-01
1973,8,-1.62,1973-08-01
1973,9,-1.31,1973-09-01
1973,10,-1.08,1973-10-01
1973,11,-1.12,1973-11-01
1973,12,-1.14,1973-12-01
